	African	CelticEnglish	EastAsian	European	Hispanic	Israel	Muslim	SouthAsian
Eric Lander	0.0015447713	0.7777112	0.0026913297	0.21265945	0.0031121932	0.00063311367	0.0007816569	0.0008661862
Robert Lipshutz	3.8227987e-05	0.64704597	0.00050847913	0.35100558	0.0005185456	0.00070906524	7.603906e-05	9.8043376e-05
Jonathan King	0.0031774878	0.9544094	0.0068543013	0.021217458	0.006274939	0.00026615057	0.000919822	0.00688039
Ruben Abagyan	0.016075026	0.0023020145	0.0005022481	0.9733795	0.005747059	0.0003238715	0.0016536327	1.6650622e-05
Charles Cantor	0.009252905	0.86215806	0.0051304284	0.10461835	0.0118408995	0.0004192998	0.0027372253	0.0038428137
David Cox	0.0013342141	0.9868465	0.0013651098	0.0042397073	0.0013405901	0.00056890945	0.0013074769	0.0029974475
Ron Davis	0.0058871205	0.9619259	0.003557597	0.011545456	0.002138349	0.0038553746	0.004455259	0.0066349627
Klaus Gubernator	0.00020746727	0.0023938233	0.00027439484	0.99671954	0.00029899547	1.4952823e-05	8.016897e-05	1.0616931e-05
Joshua Lederberg	0.00049855653	0.7518979	0.006813599	0.21168834	0.011520339	0.012833833	0.0022905362	0.0024568357
David Schwartz	0.00028487225	0.8711702	0.0016631308	0.08877482	0.0032285876	0.032192778	0.0010302955	0.0016552523
John Yates	0.0037675416	0.98829556	0.0035379196	0.0020904217	0.0010151328	4.924395e-06	0.00026263867	0.001025926
Peer Bork	0.0004314059	0.010456216	0.0013723813	0.9823568	0.0007333641	0.00011709165	0.0040070154	0.0005257502
John Moult	0.003188624	0.9177136	0.00086490373	0.075772315	0.0003555561	3.5276695e-05	0.0013596851	0.0007100446
Pitor Slonimsky	0.00055783073	0.473844	0.0010098221	0.43293738	0.04688571	0.035161223	0.009270073	0.0003340041
Ed Southern	0.0010084225	0.9664451	0.006017522	0.015163167	0.0032008702	0.00072273536	0.0016652355	0.005777052
Peter Willett	0.003713732	0.97427034	0.0016939145	0.014548149	0.0019088234	0.00032710834	0.0014359595	0.0021020058
John Wooley	0.0037529669	0.97851735	0.0028877726	0.0047104773	0.0044999924	2.7478982e-05	0.001439872	0.004164056
Eric Davidson	0.0034010522	0.94632745	0.0024534338	0.042942356	0.0019317813	0.00027979692	0.00025968405	0.0024045086
Walter Gilbert	0.002071019	0.9107107	0.0029396783	0.061906617	0.0138146505	0.0022961702	0.0018577991	0.004403342
Takashi Gojobori	0.004497692	0.011573617	0.96901804	0.008312301	0.0006238079	0.00012024665	3.197006e-05	0.0058223144
Hans Lehrach	0.00027569436	0.01604228	0.0023092576	0.9748609	0.0042362483	0.0004910515	0.0012729304	0.0005117294
Yvonne Martin	0.007035974	0.39009044	0.0021212462	0.57322836	0.023436217	0.0004095102	0.0016689072	0.0020093834
Yusuke Nakamura	1.1235098e-05	0.008835312	0.9909368	0.00018997709	2.4104507e-05	1.8797115e-07	8.588634e-07	1.6051466e-06
Phillip Sharp	0.0061670584	0.96794564	0.0019474663	0.010302071	0.0030720918	0.00023012317	0.0059812292	0.0043544658
Mark Adams	0.0042305854	0.9782176	0.0021694438	0.0068972562	0.003226576	0.0001460459	0.001996935	0.003115549
Roger Brent	0.0048004384	0.91254395	0.0010284885	0.0631263	0.013563037	0.00058047567	0.0018486734	0.002508534
Franz Lang	0.00055371656	0.03718297	0.0035092	0.95302975	0.0052963113	2.821479e-05	0.0003285484	7.131691e-05
Klaus Lindpaintner	2.7937988e-06	0.0004693839	6.6289416e-05	0.99934083	6.333094e-05	5.5626642e-06	4.2628777e-05	9.143442e-06
Mark Ptashne	0.00094601506	0.8677526	0.0032402328	0.11627823	0.0034466484	0.00013432761	0.0044156094	0.0037862079
Matthias Wilm	0.0003160919	0.00564675	0.0025012929	0.99009985	0.00080370775	1.2618595e-05	0.00058078126	3.8929884e-05
Ali H. Brivanlou	0.0069531365	0.0788607	0.0002085159	0.00984735	0.0014742633	0.00026250535	0.900861	0.0015324096
Evan Eichler	0.0022203245	0.53182626	0.0026562759	0.44819415	0.0050848415	0.0044454434	0.00396888	0.0016037897
"Harold ""Skip"" Garner"	0.0010227271	0.9743192	0.0022130231	0.0043549696	0.0048708576	0.00011564832	0.0023826733	0.010720839
David Ho	0.013991016	0.35671592	0.36053482	0.17276895	0.0725535	0.008257034	0.0062988154	0.008880035
Gerry Rubin	0.0009794524	0.9809682	0.0029255338	0.00608741	0.0009433815	0.00030468384	0.002487306	0.0053040697
J. Craig Venter	0.0011274972	0.9833292	0.001195598	0.007106941	0.0018625797	1.4893099e-05	0.0017605472	0.0036027697
Marc Vidal	0.00047086048	0.22083661	0.00097600947	0.68248403	0.0848007	0.0064942846	0.0017518387	0.0021857186
Edward Trifonov	0.00043137016	0.197727	0.0032572364	0.58304745	0.0022961649	0.015366516	0.19688022	0.0009941057
Christiane Nüsslein-Volhard	5.6776953e-06	0.0002511112	0.00024981418	0.9990639	0.00033259278	2.1734588e-05	7.372341e-05	1.3718733e-06
Árpád Furka	4.864328e-07	2.0040343e-05	7.127545e-05	0.99984944	2.5646952e-05	9.302141e-06	2.3731838e-05	1.0983106e-07
Andrew Clark	0.0016453386	0.9877494	0.0017810586	0.0052989996	0.0018937406	2.0827907e-05	0.0007422695	0.0008683507
Arthur Lesk	0.0010203958	0.37547326	0.0058614514	0.5936384	0.008572141	0.005304787	0.005936259	0.0041933567
Dieter Oesterhelt	0.0045635123	0.0019133782	0.00019596411	0.9923954	0.00083297293	6.5337567e-06	7.224547e-05	1.9971512e-05
Kari Stefansson	0.00028625355	0.019156162	0.0005171596	0.9785615	0.0011218989	4.3179014e-05	0.00020977638	0.00010407874
Richard Karp	0.014056599	0.92279196	0.0013671453	0.049617548	0.00404578	0.00034435763	0.005512539	0.0022641069
Elizabeth Winzeler	0.0005661831	0.9072314	0.0049736737	0.07219066	0.007904038	0.0019548477	0.0019050674	0.003274233
William McGinnis	0.001227923	0.9661763	0.0033210726	0.018922932	0.0030830116	0.00026796514	0.001980355	0.0050204163
Martin Nowak	7.5018697e-06	0.007571709	0.00023907046	0.99186933	0.00024707068	1.1084057e-06	5.6977922e-05	7.2005246e-06
Andrew Fire	0.015999729	0.94310904	0.0011418554	0.03128008	0.004525432	7.766426e-05	0.002109058	0.0017571074
Wolfgang Baumeister	0.00045882026	0.002841676	0.0006512956	0.9946471	0.00047735678	0.00019124403	0.00067501765	5.7527224e-05
James Collins	0.008064011	0.9753361	0.0016386244	0.00742697	0.003741365	8.421239e-06	0.00079931336	0.0029853263
Michael Levine	0.0015641603	0.9288464	0.005171096	0.038888376	0.006564784	0.009004147	0.004044014	0.0059169778
Ajay K. Royyuru	0.0072867414	0.13087697	0.0043785814	0.0012115971	0.0009717096	5.2335954e-06	0.0021171628	0.85315204
Carl Zimmer	0.00052871456	0.9196221	0.0035683624	0.06738496	0.0030776216	0.002472692	0.00082595117	0.0025196874
Roman A. Zubarev	5.101757e-05	0.01673014	0.0010272162	0.9672815	0.0039692116	0.005070489	0.005847253	2.3099912e-05
Patrick Brown	0.0053308783	0.9669416	0.0032649252	0.01257002	0.0049735783	7.65872e-05	0.002347538	0.004494925
Abby Dernburg	0.0005809989	0.97753215	0.00244793	0.010409487	0.0022618023	2.7353186e-05	0.0016987389	0.0050414167
Jennifer Marshall Graves	0.0006280402	0.9816026	0.00053587824	0.0008450237	0.0075324513	5.7396455e-06	0.00040166176	0.008448686
Yishi Jin	1.2616817e-05	0.0056151943	0.9934616	0.0001376281	0.00016140364	0.00027071842	1.5878672e-05	0.00032506665
Jay Keasling	0.0003904083	0.9804536	0.011521	0.0027614033	0.0012515801	1.4509543e-05	0.00040550632	0.0032020516
Harry Noller	0.0046202634	0.9318798	0.0044556246	0.045657944	0.0049645063	0.0008611918	0.0016854982	0.0058751595
Edison Liu	0.0053274794	0.17452459	0.7483546	0.041555416	0.028967205	0.00018064237	0.00061761047	0.00047240886
Sang Yup Lee	3.597542e-05	0.007688239	0.98598564	0.0049986956	0.00095504633	5.438198e-06	3.7222468e-05	0.0002937504
Andrei Lupas	0.0037358745	0.08383003	0.01859827	0.833125	0.058860783	6.917685e-05	0.00040270234	0.0013781774
Howard Cedar	0.0071298336	0.80793685	0.018413883	0.11214298	0.010505794	0.0064034346	0.024117053	0.013350181
Vivian Cheung	0.0004335346	0.22562656	0.729156	0.042957243	0.0013250922	0.00012245419	0.00025516923	0.00012391867
Suzanne Cory	0.0019565928	0.93988985	0.0015471024	0.045106933	0.0090787485	0.00032188016	0.0008629438	0.0012360386
Rade Drmanac	1.8133558e-05	0.013029848	6.736862e-05	0.9861665	0.00035011146	7.228556e-05	0.00028665827	9.209898e-06
Eran Halperin	0.0012274481	0.0935515	0.003094048	0.042988773	0.0056334794	0.8484288	0.0026154998	0.0024604392
Michael Hammer	0.0052776802	0.31545094	0.002732846	0.65129614	0.004624992	0.011986731	0.0056088394	0.003021878
Joanna Mountain	0.0057581635	0.57499516	0.0013974421	0.4039873	0.0071968734	0.00016150638	0.0043466035	0.0021570781
Stephen Quake	0.006133893	0.9527847	0.033666793	0.0031183797	0.0021470708	0.00013178155	0.0009280982	0.0010892942
Mostafa Ronaghi	0.00015500917	0.0017202361	0.00018110246	0.014080996	0.0002862454	0.0012802003	0.98210686	0.00018926416
Pardis Sabeti	0.010108164	0.1933746	0.10176258	0.19174024	0.021003218	0.0013019294	0.44211763	0.038591616
Michael Snyder	0.0019299864	0.9828772	0.004141676	0.0011929726	0.0008207113	0.00011370648	0.001351806	0.007572026
Cecilia Arraiano	0.0002168653	0.052472282	0.0008136984	0.08677315	0.8593988	2.6016083e-05	0.00019163976	0.00010753256
David Bartel	0.006168501	0.63943034	0.0014486898	0.29080957	0.056700505	0.0022504479	0.0013437828	0.0018482099
Phil Kapranov	0.0011200208	0.3237911	0.0033715651	0.37099034	0.0014142412	0.17920572	0.11575015	0.0043567736
Norbert Perrimon	0.003947554	0.046870504	0.0019171524	0.9323171	0.011176516	0.00085058965	0.0023545593	0.0005660268
Marco Marra	0.0006061709	0.032906026	0.0005624836	0.82002336	0.1432828	0.0002474681	0.0020325843	0.00033898285
Joe Nadeau	0.00019618272	0.95166993	0.0027806193	0.033311456	0.0043005226	0.00012198212	0.004475255	0.0031440558
Karen Nelson	0.0020394241	0.96525437	0.0029558858	0.01924227	0.0033875408	0.0013163468	0.0014446367	0.0043595056
Jun Wang	7.513268e-05	0.16853543	0.8244066	0.0042565363	0.0024939692	1.9665351e-06	1.5419026e-05	0.00021498435
Thomas Gingeras	0.000859982	0.32082683	0.00049128034	0.6676671	0.008851455	0.0001581635	0.00069198996	0.00045317694
Ada Yonath	0.06875568	0.340908	0.055756353	0.17469203	0.049215477	0.18453917	0.10121068	0.024922565
Chung-I Wu	9.57345e-06	0.007650847	0.9920947	0.00022428096	1.5060405e-05	1.5063635e-07	1.0779431e-06	4.396035e-06
Scott Fraser	0.0008670659	0.98823416	0.0015000384	0.004231517	0.001487203	4.7358593e-05	0.0007036703	0.0029290058
Nadia Rosenthal	0.0026612352	0.58524764	0.006542509	0.28337336	0.09155971	0.011046975	0.00288984	0.016678784
Xiaoliang Sunney Xie	5.639328e-05	0.021069698	0.9763569	0.0019532528	0.00051704695	1.0196264e-06	3.6388163e-05	9.168914e-06
Ian Baldwin	6.647419e-05	0.9962185	0.00076906284	0.00053514517	0.001377396	6.905919e-06	5.249842e-05	0.00097406906
Tom Mitchell	0.00085466146	0.98252386	0.0021896095	0.010159961	0.0026375824	0.00015187236	0.00056371815	0.0009185975
Sarah Tishkoff	0.00032240522	0.8681625	0.0017511485	0.06388312	0.0058281417	0.0416237	0.01470186	0.003727079
Magda Konarska	0.0010588985	0.0393199	0.0012211726	0.95632136	0.001672485	3.6738198e-05	0.00030403712	6.543398e-05
Bas van Steensel	0.004453837	0.8111717	0.008015695	0.16711947	0.0031327559	0.00015069477	0.0003560727	0.0055998503
Waclaw Szybalski	0.00035686715	0.011206777	0.00078124553	0.98584425	0.0009403896	0.0006559101	0.00021168556	2.9811847e-06
Peter Kim	0.023707425	0.28492218	0.62814593	0.043929603	0.009242609	0.0019588082	0.0030638445	0.0050296546
Rob Knight	0.00045421463	0.98915184	0.0022267029	0.0031288145	0.0019488544	7.2534815e-05	0.0004009619	0.0026160942
Leonid Kruglyak	0.0014530858	0.24015601	0.0025436722	0.7181531	0.024572736	0.0019581201	0.0009216673	0.010241531
Phil Bradley	0.0005135856	0.9937596	0.0009238512	0.0012798453	0.0005637448	1.7032444e-05	0.00068343943	0.0022588114
Teresa Przytycka	7.019588e-06	0.001961019	2.9670824e-05	0.9968274	0.001163695	3.8841986e-07	2.0275168e-06	8.725727e-06
Karen Adelman	0.0013119901	0.9105627	0.006529909	0.04054797	0.009151082	0.021340718	0.0063479557	0.004207643
Colin Collins	0.0034496144	0.98134816	0.0011579012	0.0059621367	0.0029672903	4.3701093e-06	0.00046272628	0.004647868
Joe Gray	0.00079306314	0.98291254	0.0061675115	0.007256159	0.0020340653	2.2215843e-05	0.00016710626	0.00064734346
Michael Schnall-Levin	0.0003494145	0.9656633	0.003317322	0.013054842	0.0019273815	0.0076480675	0.0033925588	0.004647178
Peter Campbell	0.0010118493	0.9858883	0.0005233464	0.007993836	0.0021965445	0.000112101254	0.000559949	0.0017140381
Nevan Krogan	0.00013195575	0.7416569	0.00022341378	0.2143264	0.0020658565	0.0360423	0.005478004	7.521086e-05
Francois Spitz	0.0064546764	0.110359706	0.0030311835	0.86727345	0.007119431	0.0022646056	0.0021997455	0.001297173
Rachel Kolodny	0.0009831198	0.20390196	0.03189552	0.31864828	0.002038282	0.039071456	0.15911601	0.24434537
Mihai Pop	0.00037551898	0.013301444	0.01624315	0.96210366	0.001158191	0.0008713743	0.0048190383	0.001127683
Franziska Michor	0.0007915459	0.007923337	0.00079486944	0.9857062	0.00424952	2.1758784e-05	0.00031903363	0.00019371841
Eytan Ruppin	0.0010154677	0.019907031	0.002016156	0.009635798	0.0007114566	0.9655434	0.0002035624	0.00096714543
