	African	CelticEnglish	EastAsian	European	Greek	Hispanic	Jewish	Muslim	Nordic	SouthAsian
Pierre Baldi	0.006352388	0.011449334	0.0014962897	0.9696092	0.00033911335	0.0075362264	0.000115299306	0.0012579304	0.0009679844	0.00087636197
Andrej Sali	0.0006366087	0.003419318	0.0017429759	0.9440622	0.002370509	0.0073416745	0.0039419644	0.033148374	0.00083091133	0.0025054766
Nir Friedman	0.00021129553	0.0011518063	8.2087055e-05	0.001929219	1.1537417e-05	0.00018811482	0.99601954	3.093813e-05	0.0003288399	4.6616206e-05
Robert Gentleman	0.06110873	0.7073644	0.005589717	0.17894714	0.00042925545	0.012768691	0.0065741097	0.005039086	0.01705564	0.0051232604
Ewan Birney	0.0049344897	0.9736786	0.0018978361	0.01120657	7.2335766e-05	0.00061630935	0.0001179617	0.0027882992	0.0009386041	0.00374898
Amos Bairoch	0.009184859	0.007908406	0.0148144225	0.025123384	0.0012836229	0.017152088	0.8852996	0.015802268	0.001402249	0.022029042
Burkhard Rost	0.0068024974	0.020246837	0.0012597356	0.95663285	0.0016435934	0.006606138	6.9529975e-05	0.0051497566	0.00134945	0.00023962221
Michael Levitt	0.0035483753	0.33360785	0.0023283334	0.021222625	0.000262333	0.0010257112	0.6145444	0.00647999	0.014618719	0.0023617267
Desmond Higgins	0.049484	0.9147446	0.004518209	0.013013168	0.00027943277	0.006369721	5.5228455e-05	0.0015114942	0.00038676042	0.009637357
Thomas Lengauer	0.0016051995	0.0045083426	0.0004168849	0.9702461	8.7450186e-05	0.0016188913	0.00010424498	0.00033178786	0.020206848	0.0008742221
Mark Gerstein	0.08696036	0.46201953	0.02380863	0.2961703	0.0012252379	0.010684136	0.06211786	0.006650207	0.031066881	0.019296903
Cyrus Chothia	0.15197423	0.4242144	0.091800235	0.015061367	0.00046442467	0.0060619027	0.00013047295	0.015361284	0.0032424584	0.29168922
Rolf Apweiler	0.00058161473	0.006721956	0.000703923	0.9775153	0.00058868557	0.007961396	0.00085315824	0.0007652542	0.004153376	0.00015544205
Shoshana Wodak	0.017033601	0.010405722	0.014550735	0.08005218	0.00013376448	0.0012670999	0.81113386	0.027522137	0.00295626	0.034944538
Haim Wolfson	0.0298558	0.28724006	0.0026165117	0.03872669	0.0006495622	0.0157369	0.28424558	0.027815295	0.31132102	0.0017925993
Lincoln Stein	0.08172155	0.66173124	0.021989807	0.046080023	0.0019653474	0.041762885	0.0020959666	0.022960754	0.0047818534	0.11491063
Sarah Teichmann	0.010415427	0.102152556	0.015850784	0.5855771	0.014675319	0.011833433	0.066735	0.0028969564	0.18827172	0.0015917429
Anna Tramontano	0.0014775479	0.099160574	0.036821205	0.7220996	0.011552997	0.11345684	0.00074970734	0.002347895	0.010716892	0.0016167616
Aviv Regev	7.393894e-06	9.734971e-06	8.255544e-08	1.4224851e-05	4.555789e-06	2.4485598e-07	0.99995375	4.547242e-06	2.55839e-06	2.9509213e-06
Christine Orengo	0.052476857	0.008207297	0.0027847968	0.76320285	0.006580157	0.06429172	0.0003493139	0.001705972	0.10002006	0.0003809396
Michal Linial	0.009370065	0.0062192446	0.015947578	0.8974463	0.00094791787	0.051435128	0.012110239	0.0018633684	0.0041586575	0.00050158985
Barry Honig	0.011316543	0.772679	0.0064290785	0.17985411	0.0012197756	0.007094708	0.0031568531	0.001404126	0.005365918	0.011479859
Janet Kelso	0.023355974	0.84834	0.0087696565	0.034268394	0.0011957083	0.027182972	0.0008618066	0.010347691	0.0027989252	0.04287886
